Name,Category,Education,Skills,Experience
Rhonda Richards,Python Developer,MTECH,"pandas, python, django",3.1
Anthony Sanchez MD,Tableau Developer,MBA,"sql, dashboards, data visualization, tableau, bi tools",3.2
Angela Mejia,Hadoop,MTECH,"pig, mapreduce, hive, ,",0.5
Anne Park DDS,HR,MBA,"interviewing, ms excel, communication, employee relations, recruitment",7.7
Lori Murray,SAP Developer,BTECH,"erp, sap hana, sap, fiori",13.2
Natalie Aguirre,Tableau Developer,BTECH,"sql, dashboards, data visualization",3.3
Melanie Vazquez,Hadoop,BTECH,"cam, solidworks, thermodynamics",0.5
George West,Automation Testing,BE,"pytest, automation, python",3.5
James Wiley,Network Security Engineer,BTECH,,2.5
Douglas Meyer,Operations Manager,MBA,"strategy, logistics, operations, supply chain",7.7
Kevin White,Automation Testing,BE,"pytest, python, selenium",10.9
Christina Brown,Operations Manager,MBA,"supply chain, operations, team management",5.6
Jill Martin,Operations Manager,MBA,,11.8
Jason Anderson,Hadoop,BTECH,"embedded systems, c, matlab, c++",1.6
Tiffany Guerrero,,BTECH,", solidity, ethereum, smart contracts",2.8
George Martin,,BA,"sculpting, psychology, sociology,    , history",0.8
Kyle Dean,Java Developer,BE,"spring, java, hibernate",13.6
Melissa Reynolds,Health and fitness,BSC,"fitness coaching, nutrition, yoga, training",10.5
Veronica Cohen,Web Designing,BA,"javascript, bootstrap, html, figma, css",8.9
Larry Schneider,Hadoop,BTECH,"spark, mapreduce, pig, ,",12.5
Joel Haney,DotNet Developer,BTECH,"mvc, .net, asp.net, c#, entity framework",6.8
Nicole Nelson,PMO,MBA,"jira, project management, ms project",8.4
Christine Chavez,Health and fitness,BSC,"nutrition, yoga, fitness coaching",7.0
Stacey Moore,Tableau Developer,BTECH,"spark, mapreduce, hive, ,",1.0
Kyle Taylor,Hadoop,BTECH,"spark, hive, ,",7.4
Danny Bradley,Business Analyst,BTECH,"sql, power bi, analytics, excel, requirement gathering",8.4
Brent Wright,Java Developer,BE,"java, microservices, hibernate, spring, rest api",1.9
Mrs. Alexandra Weaver,Python Developer,BE,"python, django, flask",5.1
Jonathan Lawrence,Sales,MBA,"lead generation, crm, negotiation, ",0.6
Kathy Williams,DotNet Developer,BTECH,"asp.net, entity framework, c#, .net, mvc",7.7
Anthony Chang,Engineer,BE,"matlab, c, embedded systems, control systems",12.4
Brent White,Network Security Engineer,BTECH,"vpn, security, cybersecurity, networking",6.1
Scott Dean,Python Developer,MTECH,"python, fastapi, flask",14.8
Randy Ho,Blockchain,MTECH,", ethereum, web3.js, smart contracts",2.5
Nathaniel Hoffman,DevOps,BE,"ci/cd, jenkins, docker",3.9
Ryan Burns,HR,MBA,"interviewing, ms excel, communication, employee relations, recruitment",5.3
Justin Beard,Operations Manager,BTECH,"strategy, supply chain, logistics, operations, team management",0.5
Matthew Hogan,Python Developer,BTECH,"django, pandas, python",0.7
Linda Jones,Blockchain,MTECH,"web3.js, , solidity, ethereum",12.5
